x,sex,indicator,l,m,s,source
8.00000000,MALE,WEIGHT_FOR_AGE,0.10210000,8.61510000,0.10882000,WHO2006
8.00000000,FEMALE,WEIGHT_FOR_AGE,-0.12880000,7.94870000,0.12181000,WHO2006
8.00000000,MALE,BMI_FOR_AGE,-0.28020000,17.26470000,0.08140000,WHO2006
8.00000000,FEMALE,BMI_FOR_AGE,-0.23440000,16.84040000,0.08939000,WHO2006
9.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,71.96870000,0.03117000,WHO2006
9.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,70.14350000,0.03444000,WHO2006
9.00000000,MALE,WEIGHT_FOR_AGE,0.09170000,8.90140000,0.10881000,WHO2006
9.00000000,FEMALE,WEIGHT_FOR_AGE,-0.15070000,8.22540000,0.12199000,WHO2006
9.00000000,MALE,BMI_FOR_AGE,-0.31760000,17.16620000,0.08102000,WHO2006
9.00000000,FEMALE,BMI_FOR_AGE,-0.27250000,16.74060000,0.08898000,WHO2006
10.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,73.28120000,0.03118000,WHO2006
10.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,71.48180000,0.03452000,WHO2006
10.00000000,MALE,WEIGHT_FOR_AGE,0.08200000,9.16490000,0.10891000,WHO2006
10.00000000,FEMALE,WEIGHT_FOR_AGE,-0.17000000,8.48000000,0.12223000,WHO2006
10.00000000,MALE,BMI_FOR_AGE,-0.35160000,17.04880000,0.08068000,WHO2006
10.00000000,FEMALE,BMI_FOR_AGE,-0.30680000,16.61840000,0.08861000,WHO2006
11.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,74.53880000,0.03125000,WHO2006
11.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,72.77100000,0.03464000,WHO2006
11.00000000,MALE,WEIGHT_FOR_AGE,0.07300000,9.41220000,0.10906000,WHO2006
11.00000000,FEMALE,WEIGHT_FOR_AGE,-0.18720000,8.71920000,0.12247000,WHO2006
11.00000000,MALE,BMI_FOR_AGE,-0.38280000,16.92390000,0.08037000,WHO2006
11.00000000,FEMALE,BMI_FOR_AGE,-0.33810000,16.48750000,0.08828000,WHO2006
12.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,75.74880000,0.03137000,WHO2006
12.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,74.01500000,0.03479000,WHO2006
12.00000000,MALE,WEIGHT_FOR_AGE,0.06440000,9.64790000,0.10925000,WHO2006
12.00000000,FEMALE,WEIGHT_FOR_AGE,-0.20240000,8.94810000,0.12268000,WHO2006
12.00000000,MALE,BMI_FOR_AGE,-0.41150000,16.79810000,0.08009000,WHO2006
12.00000000,FEMALE,BMI_FOR_AGE,-0.36670000,16.35680000,0.08797000,WHO2006
13.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,76.91860000,0.03154000,WHO2006
13.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,75.21760000,0.03496000,WHO2006
13.00000000,MALE,WEIGHT_FOR_AGE,0.05630000,9.87490000,0.10949000,WHO2006
13.00000000,FEMALE,WEIGHT_FOR_AGE,-0.21580000,9.16990000,0.12283000,WHO2006
13.00000000,MALE,BMI_FOR_AGE,-0.43820000,16.67430000,0.07982000,WHO2006
13.00000000,FEMALE,BMI_FOR_AGE,-0.39320000,16.23110000,0.08768000,WHO2006
14.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,78.04970000,0.03174000,WHO2006
14.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,76.38170000,0.03514000,WHO2006
14.00000000,MALE,WEIGHT_FOR_AGE,0.04870000,10.09530000,0.10976000,WHO2006
14.00000000,FEMALE,WEIGHT_FOR_AGE,-0.22780000,9.38700000,0.12294000,WHO2006
14.00000000,MALE,BMI_FOR_AGE,-0.46300000,16.55480000,0.07958000,WHO2006
14.00000000,FEMALE,BMI_FOR_AGE,-0.41770000,16.11280000,0.08741000,WHO2006
15.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,79.14580000,0.03197000,WHO2006
15.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,77.50990000,0.03534000,WHO2006
15.00000000,MALE,WEIGHT_FOR_AGE,0.04130000,10.31080000,0.11007000,WHO2006
15.00000000,FEMALE,WEIGHT_FOR_AGE,-0.23840000,9.60080000,0.12299000,WHO2006
15.00000000,MALE,BMI_FOR_AGE,-0.48630000,16.44090000,0.07935000,WHO2006
15.00000000,FEMALE,BMI_FOR_AGE,-0.44070000,16.00280000,0.08716000,WHO2006
16.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,80.21130000,0.03222000,WHO2006
16.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,78.60550000,0.03555000,WHO2006
16.00000000,MALE,WEIGHT_FOR_AGE,0.03430000,10.52280000,0.11041000,WHO2006
16.00000000,FEMALE,WEIGHT_FOR_AGE,-0.24780000,9.81240000,0.12303000,WHO2006
16.00000000,MALE,BMI_FOR_AGE,-0.50820000,16.33350000,0.07913000,WHO2006
16.00000000,FEMALE,BMI_FOR_AGE,-0.46230000,15.90170000,0.08693000,WHO2006
17.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,81.24870000,0.03250000,WHO2006
17.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,79.67100000,0.03576000,WHO2006
17.00000000,MALE,WEIGHT_FOR_AGE,0.02750000,10.73190000,0.11079000,WHO2006
17.00000000,FEMALE,WEIGHT_FOR_AGE,-0.25620000,10.02260000,0.12306000,WHO2006
17.00000000,MALE,BMI_FOR_AGE,-0.52890000,16.23290000,0.07892000,WHO2006
17.00000000,FEMALE,BMI_FOR_AGE,-0.48250000,15.80960000,0.08671000,WHO2006
18.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,82.25870000,0.03279000,WHO2006
18.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,80.70790000,0.03598000,WHO2006
18.00000000,MALE,WEIGHT_FOR_AGE,0.02110000,10.93850000,0.11119000,WHO2006
18.00000000,FEMALE,WEIGHT_FOR_AGE,-0.26370000,10.23150000,0.12309000,WHO2006
18.00000000,MALE,BMI_FOR_AGE,-0.54840000,16.13920000,0.07873000,WHO2006
18.00000000,FEMALE,BMI_FOR_AGE,-0.50170000,15.72630000,0.08650000,WHO2006
19.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,83.24180000,0.03310000,WHO2006
19.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,81.71820000,0.03620000,WHO2006
19.00000000,MALE,WEIGHT_FOR_AGE,0.01480000,11.14300000,0.11164000,WHO2006
19.00000000,FEMALE,WEIGHT_FOR_AGE,-0.27030000,10.43930000,0.12315000,WHO2006
19.00000000,MALE,BMI_FOR_AGE,-0.56690000,16.05280000,0.07854000,WHO2006
19.00000000,FEMALE,BMI_FOR_AGE,-0.51990000,15.65170000,0.08630000,WHO2006
20.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,84.19960000,0.03342000,WHO2006
20.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,82.70360000,0.03643000,WHO2006
20.00000000,MALE,WEIGHT_FOR_AGE,0.00870000,11.34620000,0.11211000,WHO2006
20.00000000,FEMALE,WEIGHT_FOR_AGE,-0.27620000,10.64640000,0.12323000,WHO2006
20.00000000,MALE,BMI_FOR_AGE,-0.58460000,15.97430000,0.07836000,WHO2006
20.00000000,FEMALE,BMI_FOR_AGE,-0.53720000,15.58550000,0.08612000,WHO2006
21.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,85.13480000,0.03376000,WHO2006
21.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,83.66540000,0.03666000,WHO2006
21.00000000,MALE,WEIGHT_FOR_AGE,0.00290000,11.54860000,0.11261000,WHO2006
